Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єщенко,Христина,Мирославівна,Жіноча,03-01-1968,Антрополог,місто Суми,"проспект Наявний 2-й, буд. 28 кв. 61, Ковель, 82884",012 17 91,rderiazhnyi@example.net
Якименко,Лілія,Сергіївна,Жіноча,07-07-1950,Кінорежисер,селище Куп'янськ,"узвіз Лінія 47-ма, буд. 196 кв. 70, Львів, 21766",+380 30 745 67 47,ihorshablii@example.org
Гайдамака,Галина,Юхимівна,Жіноча,23-09-2003,Ювелір,місто Южноукраїнськ,"парк Зарічна, буд. 09 кв. 885, Березань, 65753",054 918-25-20,martyn00@example.net
Мазепа,Златослава,Амвросійовна,Жіноча,22-09-1970,Актор,хутір Бахмут,"парк Трусовська, буд. 8 кв. 31, Узин, 87450",+380 (27) 173-43-21,zabarnaleopold@example.org
Засенко,Варвара,Русланівна,Жіноча,20-11-2001,Програміст,місто Скадовськ,"вулиця Волинський, буд. 9 кв. 12, Нова Одеса, 94603",077 120-12-08,liliiaatamaniuk@example.org
Їжакевич,Ірина,Болеславівна,Жіноча,12-10-1999,Складальник,село Радехів,"проспект Академіка Корольова, буд. 20, Переяслав, 96027",130-25-07,levchenkoieva@example.org
Царенко,Богданна,Охрімівна,Жіноча,24-08-1942,Музичний редактор,місто Золоте,"площа Василя Кричевського, буд. 24, Підгайці, 81007",+380 52 992-50-84,demianenkoherman@example.org
Андрійович,Михайлина,Климентівна,Жіноча,20-04-1958,Детектив,село Тернівка,"парк Висока, буд. 263, Шепетівка, 20190",+380 (26) 619-24-23,hordiihuk@example.org
Олійник,Анжела,Микитівна,Жіноча,10-04-1995,Астронавт,селище Родинське,"вулиця Діхтієвського Віктора, буд. 71 кв. 73, Кролевець, 77027",+380 (37) 006-79-37,larysaradchenko@example.com
Бабійчук,Мілена,Вадимівна,Жіноча,22-06-1946,Електрик,селище Міусинськ,"парк Економічний, буд. 4 кв. 1, Хоростків, 99119",671-46-99,myronaronets@example.org
Бевз,Оксана,Пантелеймонівна,Жіноча,27-05-1954,Графік,селище Сарни,"провулок Тополина, буд. 43, Донецьк, 76106",428-81-35,lesykparmen@example.org
Бабак,Лілія,Данівна,Жіноча,04-04-1964,Каскадер,село Лисичанськ,"набережна Аркадіївський, буд. 33 кв. 318, Овруч, 29647",279 19 61,myroslavtaran@example.com
Гаврилець,Едита,Августинівна,Жіноча,20-05-1964,Клавішник,село Мерефа,"сквер Ганса Германа, буд. 7 кв. 25, Бучач, 73047",+380 65 508 25 37,karpenkooleksa@example.com
Карпенко,Еріка,Ігнатівна,Жіноча,04-04-1944,Електромонтажник,місто Нововолинськ,"вулиця Рози вітрів, буд. 93 кв. 144, Косів, 95120",619-47-92,liliiaholoborodko@example.com
Цибуленко,Сніжана,Демʼянівна,Жіноча,17-09-1991,Пекар,хутір Іловайськ,"набережна Горбатий міст, буд. 43, Чорноморськ, 80834",017 496-81-94,iaroslavakomar@example.com
Дашкевич,Златослава,Юстимівна,Жіноча,07-01-1957,Лікар,село Чернігів,"шосе Прорізний, буд. 254 кв. 54, Хмельницький, 65605",+380 26 797-31-36,nadiia02@example.com
Шаблій,Святослава,Геннадіївна,Жіноча,14-10-1979,Нотаріус,селище Бахмач,"проспект Заводська 5-та, буд. 27 кв. 8, Перевальськ, 46003",031 655-48-06,anton87@example.net
Гайда,Богданна,Ааронівна,Жіноча,12-12-1963,Паралегал,місто Хрестівка,"узвіз Сортувальна 2-га, буд. 6, Бровари, 12560",095 421-52-98,tsybulenkosymon@example.org
Ющенко,Камілла,Ростиславівна,Жіноча,22-09-1967,Письменник,місто Шостка,"набережна Ольгіївський узвіз, буд. 56 кв. 49, Заставна, 70822",775 12 24,valeriiatroshchenko@example.com
Скирда,Анжела,Романівна,Жіноча,29-08-1999,Біолог,село Чуднів,"провулок Варненська, буд. 7 кв. 726, Сторожинець, 24786",+380 41 047 06 38,udeineka@example.org
Гресь,Розалія,Леонтіївна,Жіноча,19-04-1982,Адвокат,село Роздільна,"вулиця Десятого квітня, буд. 519, Іллінці, 03839",594-17-46,borysvelychko@example.com
Шовкопляс,Еріка,Степанівна,Жіноча,09-07-1981,Лікар,село Жовква,"провулок Дачна, буд. 16 кв. 668, Ківерці, 44804",+380 (33) 960-75-41,gsymonenko@example.com
Щербак,Роксолана,Вікторівна,Жіноча,21-11-1952,Ювелір,хутір Соледар,"шосе Разумовська, буд. 0, Рудки, 68037",599-51-54,lupiisviatoslava@example.com
Конопля,Єва,Костянтинівна,Жіноча,23-12-1991,Складальник,місто Рудки,"проспект Василя Кандинського 2-й, буд. 49, Шумськ, 69228",050 706 38 67,bohodarmalyk@example.net
Дзиндра,Ольга,Костянтинівна,Жіноча,22-05-1966,Кіноактор,місто Знам'янка,"парк Надіїі, буд. 102 кв. 465, Самар, 67131",423-34-59,qivanenko@example.org
Мазепа,Дарина,Несторівна,Жіноча,18-12-1948,Режисер,місто Великі Мости,"парк Героїв оборони Одеси, буд. 117 кв. 97, Новомиргород, 25944",640-01-11,wtsiupa@example.com
Дуплій,Ярослава,Ярославівна,Жіноча,30-06-1960,Кіноактор,місто Чуднів,"сквер Іванівський переїзд, буд. 57, Гірське, 78890",+380 57 264-61-66,mariia30@example.com
Іваничук,Людмила,Германівна,Жіноча,29-12-1997,Сценарист,місто Новогродівка,"шосе Садова 2-га, буд. 1 кв. 0, Миронівка, 53138",+380 52 807-83-64,vadym97@example.org
Назаренко,Орина,Остапівна,Жіноча,16-11-1973,Кінокритик,хутір Українка,"вулиця Машинобудівний, буд. 932 кв. 96, Берестечко, 81503",+380 (35) 600-31-13,vivcharenkohennadii@example.net
Тичина,Маруся,Вʼячеславівна,Жіноча,09-01-1957,Вчитель,селище Вінниця,"шосе Котляревського, буд. 77, Олександрія, 06479",+380 33 773-49-07,fmasokha@example.org
Павленко,Марта,Леонідівна,Жіноча,21-03-1980,Ді-джей,село Новоселиця,"шосе Давида Бурлюка, буд. 1 кв. 9, Тараща, 57318",360-20-61,alla85@example.org
Андрусенко,Валентина,Ростиславівна,Жіноча,07-08-1976,Євнух,хутір Тараща,"провулок Економічний, буд. 9, Хутір-Михайлівський, 16636",424 07 10,datsenkoillia@example.org
Даньків,Єлисавета,Пилипівна,Жіноча,23-02-1954,Палеонтолог,місто Приморськ,"провулок Донорська, буд. 2 кв. 1, Копичинці, 61045",035 74 44,alina76@example.net
Бабич,Еріка,Микитівна,Жіноча,29-07-1946,Петрограф,хутір Пустомити,"проспект Леонтовича, буд. 7 кв. 839, Угнів, 50202",014 670 52 40,valenkovira@example.com
Прокопович,Дарина,Йосипівна,Жіноча,20-03-1970,Електротехнік,місто Добромиль,"набережна Баштанна, буд. 9, Старий Крим, 40787",+380 06 686 88 88,dubasfeofan@example.org
Штепа,Данна,Амвросійовна,Жіноча,12-12-1983,Хімік,село Липовець,"набережна Обривиста, буд. 02 кв. 7, Вільногірськ, 49782",+380 24 403-31-56,bohuslav75@example.com
Аронець,Маруся,Гаврилівна,Жіноча,25-05-1987,Журналіст,місто Подільськ,"площа Виноградна 1-ша, буд. 6 кв. 1, Красноперекопськ, 81727",049 93 06,khrystyna69@example.net
Ляшко,Еріка,Леонідівна,Жіноча,19-10-1947,Фрілансер,місто Жовті Води,"узвіз Балтський 1-й, буд. 051, Берегове, 63553",616-18-51,valentynachernenko@example.com
Павлик,Златослава,Амвросійовна,Жіноча,27-10-1998,Гінеколог,селище Турка,"узвіз Валіховський, буд. 6, Вінниця, 18681",447 67 78,lahodanestor@example.net
Лесик,Марина,Григоріївна,Жіноча,15-06-1955,Фольклорист,селище Винники,"шосе Новопланівська, буд. 0 кв. 81, Південне, 60992",+380 (23) 370-93-12,ievtushokokhrim@example.com
Данченко,Богуслава,Григоріївна,Жіноча,26-06-1959,Електромонтажник,селище Заводське,"сквер Ніни Строкатої, буд. 78 кв. 886, Новий Калинів, 84979",+380 60 982 80 00,kostiantyn58@example.net
Бабиченко,Лариса,Назарівна,Жіноча,11-02-1944,Мовознавець,село Вільногірськ,"проспект Віталія Гуляєва, буд. 296, Барвінкове, 46080",+380 (83) 374-81-32,tdrozd@example.com
Атаманюк,Ліза,Романівна,Жіноча,22-03-1953,Електромонтер,селище Шумськ,"вулиця Єфімова, буд. 63, Підгайці, 71980",+380 36 516 58 60,kalenychenkovarfolomii@example.net
Яременко,Єлисавета,Симонівна,Жіноча,28-09-2001,Стоматолог,хутір Роздільна,"сквер Леха Качинського, буд. 97, Бахмач, 58311",028 400 66 03,khomenkoada@example.org
Ткач,Едита,Леонтіївна,Жіноча,07-10-1980,Мистецтвознавець,селище Маріуполь,"набережна Самодіяльна, буд. 82, Очаків, 84607",515-58-21,iustymlubenets@example.com
Наливайко,Ольга,Омелянівна,Жіноча,16-08-1950,Філолог,хутір Сокиряни,"парк Рівності 2-й, буд. 8 кв. 85, Благовіщенське, 04774",013 895-17-31,romanetstereza@example.com
Теліженко,Златослава,Юстимівна,Жіноча,24-08-1980,Шериф,хутір Радехів,"проспект Вокзальна, буд. 6, Полонне, 17802",+380 02 343-42-61,skhudiak@example.org
Карпенко,Варвара,Ігнатівна,Жіноча,08-09-1997,Петрограф,село Любомль,"проспект Заводська 2-га, буд. 4 кв. 7, Вільнянськ, 84043",+380 71 643-54-42,markoshmorhun@example.net
Товстуха,Наталія,Аркадіївна,Жіноча,10-12-1969,Кушнір,селище Федорівка,"провулок Амбулаторний 1-й, буд. 6, Тиврів, 41718",+380 76 196 35 25,tryhubleontii@example.org
Журавель,Єва,Миронівна,Жіноча,27-09-1940,Промисловець,село Гайсин,"сквер Верф’яний, буд. 53 кв. 51, Кам'янське, 23465",+380 41 728-56-86,paliiiakiv@example.com
Євдокименко,Анастасія,Несторівна,Жіноча,22-08-1947,Співак,селище Гадяч,"сквер Цимлянська, буд. 5 кв. 42, Севастополь, 16965",+380 29 339 35 83,mdarahan@example.org
Червоненко,Емілія,Арсенівна,Жіноча,18-12-1950,Футболіст,селище Золотоноша,"узвіз Санаторний, буд. 7, Долинська, 29889",025 960-22-27,viktorisaienko@example.net
Бабич,Богданна,Юстимівна,Жіноча,09-01-1967,Акушер,хутір Лозова,"парк Селищний, буд. 875, Нова Каховка, 54444",+380 (19) 142-65-09,venhrynovychmarusia@example.org
Шведченко,Ада,Олександрівна,Жіноча,04-08-1964,Мистецтвознавець,село Бахмут,"проспект Травневий, буд. 97, Дебальцеве, 53124",+380 49 379-75-74,marynakhomyk@example.com
Бабій,Данна,Веніяминівна,Жіноча,25-03-1970,Реставратор,селище Теребовля,"вулиця Саймона Літмана, буд. 7 кв. 7, Дергачі, 58627",+380 47 112-45-76,andriichukbohodar@example.net
Колісниченко,Олена,Болеславівна,Жіноча,12-04-1945,Головний меркшейдер,хутір Світловодськ,"узвіз Ковиловий, буд. 344 кв. 5, Кременчук, 09977",+380 87 239-15-08,klavdiia49@example.org
Усик,Вікторія,Веніяминівна,Жіноча,25-09-1953,Піаніст,село Угнів,"набережна Проектований 4-й, буд. 96 кв. 350, Нововолинськ, 94032",+380 63 986-75-40,dashkevychodarka@example.org
Шутько,Михайлина,Мартинівна,Жіноча,04-01-1980,Музикант,село Барвінкове,"набережна Академіка Векслера, буд. 267, Вільнянськ, 14990",571 96 03,redkoihnat@example.org
Батуринець,Володимира,Григоріївна,Жіноча,28-05-1974,Кінорежисер,селище Кам'янка (Черкаська область),"набережна Машинобудівний, буд. 6, Зеленодольськ, 45282",+380 63 252 57 39,lukashillia@example.net
Дахно,Едита,Назарівна,Жіноча,29-11-1965,Гірничий інженер,хутір Валки,"шосе Моторний 3-й, буд. 32, Хмільник, 95734",+380 (73) 908-92-38,ivanenkoviktoriia@example.com
Лаба,Аніта,Панасівна,Жіноча,07-02-1958,Електромонтер,село Вуглегірськ,"вулиця Климовича, буд. 83, Синельникове, 78007",793-72-42,arsen10@example.com
Удовенко,Одарка,Григоріївна,Жіноча,03-05-1962,Державний службовець,місто Радехів,"парк Місячний, буд. 188, Яремче, 02221",+380 35 251-22-28,utsymbaliuk@example.net
Супруненко,Ада,Володимирівна,Жіноча,01-02-1975,Ветеринар,хутір Городок,"парк Кутова, буд. 1, Христинівка, 18370",606 45 80,dbevzenko@example.net
Оберемко,Розалія,Захарівна,Жіноча,22-04-1970,Будник,село Ладижин,"сквер Пересипська 5-та, буд. 03, Бурштин, 73904",048 495 91 39,dubasiarema@example.net
Бабенко,Володимира,Іванівна,Жіноча,12-05-1978,Електрослюсар,місто Чуднів,"парк Кавказька, буд. 6, Маріуполь, 52399",+380 83 102-47-35,zabashtaiustyna@example.org
Данилюк,Варвара,Демʼянівна,Жіноча,09-06-2007,Бухгалтер,селище Дебальцеве,"площа Ліверпульський, буд. 44, Кам'янка-Бузька, 91470",+380 96 968 39 92,khrystyna49@example.com
Дейнеко,Варвара,Лукʼянівна,Жіноча,19-09-1973,Кур'єр,хутір Охтирка,"вулиця Дніпровська, буд. 808 кв. 777, Часів Яр, 29679",006 240-75-00,oleksandrlukash@example.org
Даниленко,Орися,Лукʼянівна,Жіноча,20-05-1939,Живописець,село Рожище,"провулок Ботанічний, буд. 42 кв. 90, Берегове, 53329",861-28-68,lizaiaremkiv@example.net
Колісниченко,Богуслава,Романівна,Жіноча,30-08-1970,Кінокритик,хутір Вижниця,"сквер Садиковська, буд. 9 кв. 2, Шепетівка, 29631",+380 81 679 86 96,serhiitkachenko@example.com
Онуфрієнко,Софія,Трохимівна,Жіноча,27-11-1954,Співак,місто Новояворівськ,"шосе Нафтовиків, буд. 7 кв. 883, Новгород-Сіверський, 81766",020 391-24-09,olifirenkohavrylo@example.org
Голобородько,Амалія,Германівна,Жіноча,06-09-1988,Літературознавець,селище Путивль,"парк Архітектурна, буд. 54, Ковель, 83578",070 338 71 91,okhrimenkohryhorii@example.com
Закусило,Ярослава,Прохорівна,Жіноча,04-06-1944,Менеджер,селище Новоград-Волинський,"парк Василя Кандинського 2-й, буд. 8, Жданівка, 28423",+380 (14) 184-97-06,wkozak@example.net
Артюх,Аніта,Борисівна,Жіноча,28-01-2008,Психолог,хутір Монастирище,"узвіз Пляжна, буд. 7 кв. 22, Ржищів, 18485",+380 00 943 64 68,ihortsarenko@example.net
Франчук,Тереза,Климентівна,Жіноча,15-07-2002,Гицель,село Балта,"парк Горіхова, буд. 591, Бершадь, 60954",+380 (47) 222-92-04,martyn88@example.com
Харченко,Маруся,Теодорівна,Жіноча,12-07-1971,Реабілітолог,хутір Судова Вишня,"провулок Байкал тупик, буд. 8 кв. 77, Кальміуське, 76402",+380 59 399-32-03,varfolomii15@example.org
Онуфрієнко,Юстина,Артемівна,Жіноча,23-05-1941,Паблік рилейшнз,місто Сокологірськ,"вулиця Бориса Кифоренка, буд. 290, Ржищів, 87548",+380 (13) 769-13-46,roman43@example.org
Кибкало,Альбіна,Соломонівна,Жіноча,17-08-1946,Дантист,село Богодухів,"шосе Газова, буд. 555 кв. 9, Хмельницький, 39049",032 170 91 08,solomiiatkachenko@example.com
Опанасенко,Юстина,Кирилівна,Жіноча,09-03-1964,Художник,селище Глобине,"шосе Миколи Куліша, буд. 44 кв. 99, Красилів, 70087",071 995 54 68,vdovenkoarsen@example.net
Тягнибок,Сніжана,Панасівна,Жіноча,17-04-1990,Кінорежисер,селище Камінь-Каширський,"набережна Листяна, буд. 2, Ладижин, 66343",+380 (79) 410-57-03,rhaidamaka@example.org
Тимченко,Галина,Феофанівна,Жіноча,27-11-1940,Швачка,селище Канів,"шосе Кримська, буд. 882 кв. 924, Жовква, 79315",+380 11 917-34-12,artem72@example.net
Забарний,Аніта,Микитівна,Жіноча,01-03-1997,Золотар,село Лозова,"вулиця Стороженка Олега, буд. 8 кв. 7, Євпаторія, 18207",+380 38 845-98-17,jkopytko@example.net
Демиденко,Любов,Прохорівна,Жіноча,28-09-1968,Перекладач,місто Сокаль,"вулиця Книжковий, буд. 04, Тернівка, 76210",+380 10 269 52 83,tymofiiprytula@example.net
Яремків,Анжела,Павлівна,Жіноча,30-06-1964,Геолог,хутір Гірник,"провулок Радіальна, буд. 71, Рудки, 28896",+380 (81) 777-43-87,sirobabamarusia@example.org
Медведенко,Варвара,Ростиславівна,Жіноча,27-09-1979,Ріелтор,село Рудки,"шосе Байгородський, буд. 5, Хутір-Михайлівський, 36573",945-02-08,ponishchuk@example.org
Рубан,Оксана,Яремівна,Жіноча,29-11-1958,Правник,хутір Зіньків,"вулиця Радіальна, буд. 666 кв. 8, Макіївка, 36195",071 770 77 11,fshevchenko@example.net
Юрчишина,Ольга,Олександрівна,Жіноча,02-03-2005,Ґрунтознавець,селище Золотоноша,"шосе Закарпатська, буд. 8 кв. 045, Балта, 47576",+380 52 903-55-20,valentyntaran@example.net
Міщенко,Одарка,Пилипівна,Жіноча,19-01-1993,Музикознавець,село Докучаєвськ,"шосе Шампанський, буд. 07, Ворожба, 46796",058 121-55-06,anastasiia96@example.net
Власенко,Одарка,Глібівна,Жіноча,27-02-1963,Мистецтвознавець,село Вашківці,"шосе Дальній, буд. 977 кв. 457, Сновськ, 87230",201-61-99,rievtushenko@example.org
Товстоліс,Лілія,Аркадіївна,Жіноча,03-04-1968,Бухгалтер,місто Ялта,"набережна Людмили Гінзбург, буд. 5 кв. 05, Корець, 59642",+380 (33) 379-33-01,isaienkoorkhyp@example.com
Луценко,Христина,Костянтинівна,Жіноча,17-10-1964,Історик,селище Середина-Буда,"вулиця Школярський, буд. 753 кв. 3, Виноградів, 90920",+380 34 213 52 50,qlesyk@example.org
Аверченко,Варвара,Владиславівна,Жіноча,28-10-1939,Мікробіолог,село Корюківка,"узвіз Дзвінка, буд. 863 кв. 6, Яворів, 66080",+380 75 256-80-04,gzhytskyiarsen@example.com
Бабʼяк,Оксана,Орестівна,Жіноча,19-08-2002,Кінорежисер,село Залізне,"проспект Новоукраїнський, буд. 985, Прилуки, 25061",+380 82 011 12 25,eiukhymenko@example.com
Дубина,Світлана,Богданівна,Жіноча,03-09-1965,Каскадер,місто Городенка,"вулиця Конструкторський, буд. 164 кв. 2, Батурин, 10385",037 730 17 01,hderhach@example.net
Терещук,Алла,Стефанівна,Жіноча,17-11-2003,Дипломат,хутір Кадіївка,"шосе Садовий, буд. 69 кв. 44, Долинська, 55673",878-38-29,abandurka@example.com
Голик,Альбіна,Максимівна,Жіноча,31-07-1946,Різноробочий,селище Заліщики,"вулиця Сергія Ейзенштейна, буд. 42, Новоселиця, 77341",+380 87 290-65-43,okhrimtsiutsiura@example.com
Мазепа,Алла,Миколаївна,Жіноча,20-03-1975,Літературознавець,село Умань,"набережна Лінія 51-ша, буд. 11, Баранівка, 40999",266-00-26,zakharenkohanna@example.com
Адаменко,Соломія,Венедиктівна,Жіноча,03-06-1939,Флорист,місто Люботин,"вулиця Ватманський, буд. 18, Маріуполь, 69945",+380 86 918-79-10,bkhrystych@example.org
Швачко,Камілла,Ааронівна,Жіноча,26-10-1965,Прокурор,хутір Камінь-Каширський,"набережна Амундсена, 3-й, буд. 7, Глиняни, 81317",+380 (43) 772-85-39,vladyslav93@example.org
Михайличенко,Аніта,Арсенівна,Жіноча,21-10-1977,Нотаріус,селище Оріхів,"сквер Берестейська, буд. 9, Балта, 41436",596 86 89,vladyslav15@example.com
Смик,Христина,Устимівна,Жіноча,25-11-1993,Економіст,селище Пирятин,"вулиця Монастирський, буд. 2, Південне, 22460",+380 54 208-75-89,hryhoriisemenchenko@example.net
Голик,Дарина,Валеріївна,Жіноча,28-07-1942,Електрик,селище Чортків,"узвіз Фестивальний, буд. 81, Кам'янець-Подільський, 75860",146 50 64,odubas@example.com
Гуцуляк,Віолетта,Венедиктівна,Жіноча,17-09-1984,Хореограф,хутір Львів,"узвіз Вапняне селище, буд. 569, Алупка, 40215",088-76-37,dandavymuka@example.net
Вишняк,Ірина,Станіславівна,Жіноча,26-08-1942,Бібліограф,селище Волноваха,"парк Миколи Боровського, буд. 043 кв. 695, Токмак, 62355",028 869 32 88,nesterenkokostiantyn@example.net
Вергун,Марина,Іллівна,Жіноча,19-07-2001,Будник,селище Вуглегірськ,"шосе 6-та Лінія Марії Демченко, буд. 104, Суми, 01019",+380 20 323-15-33,varfolomii76@example.com
Франко,Ольга,Іванівна,Жіноча,27-04-1951,Бібліотекар,хутір Алчевськ,"проспект Мусіна, буд. 046, Пирятин, 71057",059 307-42-29,pavlo17@example.com
Гаврюшенко,Варвара,Богданівна,Жіноча,22-04-1955,Кінорежисер,місто Родинське,"провулок Серединський, буд. 10, Снігурівка, 95337",+380 59 858-88-53,sofiiahuk@example.org
Андрійчук,Розалія,Тимофіївна,Жіноча,22-11-1947,Математик,селище Рубіжне,"парк Юннатів 1-й, буд. 66 кв. 00, Селидове, 64179",+380 (01) 449-13-31,havryloshcherban@example.org
Христенко,Богданна,Геннадіївна,Жіноча,06-11-1954,Пілот,місто Сокологірськ,"сквер Аптекарський, буд. 2 кв. 89, Сарни, 87407",057 562 09 17,liliiaumanets@example.net
Атаманюк,Аліна,Амвросійовна,Жіноча,27-04-1962,Електрослюсар,селище Хорол,"набережна Уманська, буд. 664, Марганець, 02862",+380 86 025-89-15,zskoryk@example.net
Влох,Амалія,Теодорівна,Жіноча,14-03-2007,Геофізик,селище Лубни,"сквер Андрія Музичка, буд. 83 кв. 66, Полтава, 62740",+380 (47) 360-13-30,ntymchenko@example.org
Рудько,Єлисавета,Опанасівна,Жіноча,29-06-1957,Ґрунтознавець,місто Монастириська,"площа Одарія, буд. 300 кв. 177, Богодухів, 32453",+380 87 811-07-47,edubas@example.net
Орлик,Варвара,Леонтіївна,Жіноча,26-08-1957,Громадський діяч,місто Бунге,"проспект Восьмого березня 1-й, буд. 675 кв. 438, Кремінна, 69227",339 84 82,piatachenkoolena@example.com
Піддубна,Едита,Прохорівна,Жіноча,22-01-1964,Модель,село Біляївка,"проспект Садова 1-ша, буд. 988, Жовква, 30247",604-73-74,priskahuzenko@example.net
Вакарчук,Михайлина,Веніяминівна,Жіноча,11-07-1992,Астроном,селище Ржищів,"шосе Травневий 2-й, буд. 053, Мукачево, 80580",080 902-66-70,larysa37@example.net
Артимович,Ганна,Леонідівна,Жіноча,13-11-1944,Громадський діяч,хутір Верхньодніпровськ,"шосе Романтиків, буд. 440 кв. 06, Джанкой, 43389",+380 (17) 168-18-96,ssmyk@example.net
Гунько,Єлисавета,Вікторівна,Жіноча,06-04-2000,Провізор,місто Моспине,"вулиця Лиманчик 2-й Лінія 9-та, буд. 53, Буринь, 04581",+380 83 790 18 54,iefrem89@example.net
Гоголь-Яновський,Ада,Георгіївна,Жіноча,02-06-1976,Диригент,селище Кам'янка (Черкаська область),"площа Лінія 50-та, буд. 6, Миколаївка, 90846",+380 30 116 56 66,ivanchenkoievhen@example.org
Євтушок,Клавдія,Пилипівна,Жіноча,20-04-1986,Мистецтвознавець,хутір Знам'янка,"парк Юннатів 1-й, буд. 45, Старий Самбір, 01447",005 102-04-15,iaronets@example.com
Базилевська,Ярина,Демʼянівна,Жіноча,16-06-1975,Промисловець,місто Вугледар,"набережна Танфільєва, буд. 51 кв. 8, Чорнобиль, 99210",+380 (29) 722-68-60,yvakulenko@example.net
Гаврилюк,Любов,Леопольдівна,Жіноча,19-06-1963,Музичний редактор,хутір Армянськ,"шосе Різницький, буд. 5, Рава-Руська, 22386",+380 05 572-43-04,babiiemiliia@example.org
Єрьоменко,Еріка,Юстимівна,Жіноча,20-06-2005,Педагог,селище Білозерське,"набережна Панченка, буд. 5, Новогродівка, 02695",154-07-97,havrylyshynartem@example.net
Акуленко,Варвара,Леонідівна,Жіноча,12-04-1993,Геолог,селище Андрушівка,"набережна Волтона, буд. 84, Пирятин, 18293",629 31 88,omelianbandera@example.org
Оробець,Марія,Орестівна,Жіноча,20-08-1981,Драматург,хутір Зборів,"проспект Цесевича, буд. 2, Одеса, 73392",+380 39 566-23-25,ghaidamaka@example.com
Харченко,Маруся,Юхимівна,Жіноча,03-06-1974,Кінорежисер,хутір Великі Мости,"набережна Моторний 2-й, буд. 10 кв. 5, Красилів, 56575",049 763-31-25,volodymyra69@example.org
Вахній,Богуслава,Леопольдівна,Жіноча,29-12-1992,Круп'є,село Вишневе,"площа Паркова, буд. 733, Залізне, 76626",099 026 76 94,illia94@example.org
Доценко,Христина,Геннадіївна,Жіноча,20-02-1971,Мірошник,селище Овруч,"площа Моторна, буд. 09 кв. 87, Рава-Руська, 60054",+380 (14) 176-89-41,orkhyp57@example.net
Петренко,Єва,Венедиктівна,Жіноча,30-06-1967,Електромонтер,селище Судова Вишня,"шосе Лазурний 5-й, буд. 93 кв. 536, Борзна, 58649",626-47-22,eduard24@example.com
Яремків,Володимира,Григоріївна,Жіноча,14-08-1993,Кушнір,місто Армянськ,"шосе Канатний, буд. 65, Соледар, 86833",505 36 60,bezborodkolukian@example.net
Вівчаренко,Михайлина,Михайлівна,Жіноча,15-03-1971,Ветеринар,село Корець,"провулок Ольгіївська, буд. 342, Корюківка, 72838",+380 01 544-68-18,oryna04@example.net
Бевзенко,Єлисавета,Юхимівна,Жіноча,06-06-1976,Бібліограф,місто Баштанка,"набережна Моторна, буд. 511 кв. 45, Коростишів, 28445",+380 40 580-67-16,nestorvashchenko@example.net
Лубенець,Ірена,Єлисеївна,Жіноча,15-12-1955,Локсмайстер,селище Саки,"вулиця Івана Вазова, буд. 628, Рені, 16421",130 37 74,sviatoslavabhydenko@example.org
Корпанюк,Емілія,Ааронівна,Жіноча,16-06-1994,Конструктор,село Валки,"шосе Новощіпний ряд, буд. 0 кв. 9, Берестечко, 15504",+380 34 981 41 53,vruban@example.org
Захаренко,Ада,Опанасівна,Жіноча,24-06-1984,Кінокритик,село Горлівка,"вулиця Київське, буд. 18 кв. 307, Маріуполь, 96841",+380 28 886 38 48,bohuslav92@example.org
Скиба,Пріска,Опанасівна,Жіноча,29-04-1944,Детектив,місто Горішні Плавні,"узвіз Водопровідна, буд. 91 кв. 51, Нововолинськ, 30142",946-24-18,aleksiukleopold@example.net
Бездітко,Едита,Богданівна,Жіноча,09-10-1959,Гицель,хутір Умань,"провулок Армійська, буд. 87 кв. 4, Вінниця, 38777",428-22-22,albina56@example.com
Туркало,Камілла,Францівна,Жіноча,23-10-1943,Головний меркшейдер,хутір Іллінці,"провулок Андреєвського, буд. 6, Ходорів, 28803",044 427 59 50,iustym02@example.org
Самойленко,Любов,Леонтіївна,Жіноча,31-03-1994,Режисер,місто Миколаївка,"шосе Джерельна, буд. 9 кв. 0, Алушта, 50050",+380 88 201 52 88,hdankevych@example.org
Бабійчук,Орина,Олександрівна,Жіноча,03-03-1976,Бухгалтер,місто Південне,"парк Довга, буд. 9, Кролевець, 22458",778 57 62,kshevchenko@example.com
Свистун,Василина,Вікторівна,Жіноча,01-07-1989,Локсмайстер,селище Барвінкове,"провулок Шоста, буд. 0, Сорокине, 83455",405 91 59,sheremetamvrosii@example.org
Полтавець,Світлана,Макарівна,Жіноча,10-07-1993,Актор,селище Перечин,"шосе Нафтовиків 1-й, буд. 99, Турка, 33689",088 530 44 88,shchyrytsiapriska@example.net
Дробʼязко,Ліза,Олександрівна,Жіноча,22-04-1993,Прокурор,хутір Лозова,"площа Дачний 2-й, буд. 394, Марганець, 68808",+380 02 370-73-37,vitalii71@example.com
Абраменко,Марина,Андріївна,Жіноча,20-01-1986,Антрополог,хутір Теребовля,"площа Травневий 1-й, буд. 7 кв. 0, Ямпіль, 10114",755-38-64,skybaparmen@example.com
Яременко,Надія,Михайлівна,Жіноча,04-06-1956,Краєзнавець,місто Брянка,"узвіз Гена Іоганна, буд. 798 кв. 1, Жданівка, 25069",218 52 23,oryna86@example.net
